"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"118",10,"Tre'von Moehrig",CAR,"S26","27","58","109","83.5","25.5","-"
"119",10,"Byron Young",PHI,"DT16","25","59","59","59.0","0.0","-"
"120",10,"Zach Sieler",MIA,"DT17","30","61","61","61.0","0.0","-"
"121",10,"Emmanuel McNeil-Warren",CLE,"S27","22","62","62","62.0","0.0","-"
"122",10,"Christian Harris",ATL,"LB52","25","63","63","63.0","0.0","-"
"123",10,"Kyle Dugger",CIN,"S28","30","64","64","64.0","0.0","-"
"124",10,"Chamarri Conner",KC,"S29","26","64","64","64.0","0.0","-"
"125",10,"Cam Bynum",IND,"S30","27","67","101","84.0","17.0","-"
"126",10,"Leonard Williams",SEA,"DT18","32","82","86","84.0","2.0","-"
"127",10,"Jonathan Greenard",PHI,"DE26","29","66","66","66.0","0.0","-"
"128",10,"Devon Witherspoon",SEA,"CB2","25","74","96","85.0","11.0","-"
"129",10,"Jonathan Allen",CIN,"DT19","31","68","68","68.0","0.0","-"
"130",10,"Jonathon Cooper",DEN,"DE27","28","71","71","71.0","0.0","-"
"131",10,"Bryan Bresee",NO,"DT20","24","71","71","71.0","0.0","-"
"132",10,"Julian Love",SEA,"S31","28","72","72","72.0","0.0","-"
"133",10,"Quentin Lake",LAR,"S32","27","73","122","97.5","24.5","-"
"134",10,"Cole Bishop",BUF,"S33","23","75","112","93.5","18.5","-"
"135",10,"Jer'Zhan Newton",WAS,"DT21","23","76","76","76.0","0.0","-"
"136",10,"Milton Williams",NE,"DT22","27","80","102","91.0","11.0","-"
"137",10,"Cooper DeJean",PHI,"CB3","23","87","95","91.0","4.0","-"
"138",10,"Malcolm Koonce",LV,"DE28","28","79","79","79.0","0.0","-"
"139",10,"Kwity Paye",LV,"DE29","27","81","81","81.0","0.0","-"
"140",11,"Minkah Fitzpatrick",NYJ,"S34","29","84","84","84.0","0.0","-"
"141",11,"Pete Werner",NO,"LB53","27","85","85","85.0","0.0","-"
"142",11,"Grant Delpit",CLE,"S35","27","86","86","86.0","0.0","-"
"143",11,"Jevon Holland",NYG,"S36","26","88","88","88.0","0.0","-"
"144",11,"Joey Bosa",FA,"DE30","31","89","89","89.0","0.0","-"
"145",11,"Devonte Wyatt",GB,"DT23","28","89","89","89.0","0.0","-"
"146",11,"Kayvon Thibodeaux",NYG,"DE31","25","92","92","92.0","0.0","-"
"147",11,"Jalen Pitre",HOU,"S37","27","93","93","93.0","0.0","-"
"148",11,"Christian Barmore",NE,"DT24","26","94","94","94.0","0.0","-"
"149",11,"Teddye Buchanan",BAL,"LB54","23","94","94","94.0","0.0","-"
"150",11,"Osa Odighizuwa",SF,"DE32","27","97","97","97.0","0.0","-"
"151",11,"James Pearce Jr.",ATL,"DE33","22","97","97","97.0","0.0","-"
"152",11,"Donovan Ezeiruaku",DAL,"DE34","22","98","98","98.0","0.0","-"
"153",11,"Chase Young",NO,"DE35","27","100","102","101.0","1.0","-"
"154",11,"Travon Walker",JAC,"DE36","25","99","99","99.0","0.0","-"
"155",11,"Kerby Joseph",DET,"S38","25","99","99","99.0","0.0","-"
